transect;point;water;ceratophyllum demersum;algae bloom;nasturtium;sparghanium emersum;agrostis/phalaris;stachys;water depth;water class
0;4;0.04;0;0;10.59;4.28;71.22;13.88;0;shallow
1;5;0.12;0.01;0;7.66;6.57;58.66;26.98;0;shallow
1;6;0.97;0.31;0;4.05;2.74;75.27;16.66;20;deep
1;7;3.26;1.59;0;5.42;3.89;68.69;17.16;2;shallow
1;8;2.95;1.3;0;4.08;4.91;66.61;20.15;1;shallow
1;9;4.08;2.38;0;2.28;3.29;75.49;12.48;15;medium
1;10;2.43;0.39;0;4.52;2.36;68.93;21.38;0;shallow
1;11;5.02;2.09;0;3.32;4.47;73.88;11.22;1;shallow
2;12;0.51;0.3;0.65;5.87;4.67;60.68;27.32;0;shallow
2;13;0.33;0.15;0;2.66;29.15;55.2;12.51;1;shallow
2;14;0.22;0.02;3.88;13.48;5.5;59.07;17.83;35;deep
2;15;3.06;1.62;11.64;7.53;2.16;55.56;18.42;5;shallow
2;16;0.14;0.01;1.12;5.7;2.05;64.85;26.12;20;deep
3;18;16.02;0;0;28.5;0.88;45.22;9.38;15;medium
3;19;0.07;0;0;12.94;10.67;55.39;20.93;2;shallow
3;20;0.09;0;0;13.63;9.58;53.54;23.16;10;medium
3;21;0.76;0.2;0;7.99;2.86;65.13;23.06;15;medium
3;22;2.32;1.86;0;7.63;6.62;52.5;29.06;0;shallow
3;23;1.21;2.38;0.01;20.01;2.12;58.28;15.99;4;shallow
4;25;2.07;2.9;0;7.23;29.44;46.02;12.33;20;deep
4;26;1.72;0.7;0;9.89;8.84;49.47;29.37;5;shallow
4;27;2.58;1.5;0.68;5.65;7.81;61.81;19.97;15;medium
4;28;7.8;6.85;11.08;10.41;2.69;54.97;6.2;10;medium
4;29;2.59;0.35;0;5.95;1.43;52.96;36.72;2;shallow
5;30;0.8;1.53;0;5.36;21.6;55.58;15.12;0;shallow
5;31;3.95;4.44;0;12.06;7.92;52.44;19.19;1;shallow
5;32;1.17;1.23;0;6.34;13.72;51.02;26.52;3;shallow
5;33;0.4;0.89;0;4.74;21.88;53.17;18.91;8;medium
5;34;1.88;1.63;0;6.76;15.23;54.72;19.78;3;shallow
6;36;27.91;38.89;0.54;0.02;16.76;15.18;0.7;10;medium
6;37;12.55;37.79;1.82;1.96;21.76;22.79;1.33;10;medium
6;38;9.86;45.34;12.48;0.45;15.46;14.92;1.49;20;deep
6;39;9.01;42.63;9.34;0.4;22.29;14.68;1.64;25;deep
6;40;1.21;1.36;5;25.87;22.2;34.59;9.78;10;medium
6;41;0.67;1.59;2.95;11.91;19.76;48.05;15.08;10;medium
7;42;13.84;19.7;12.03;3.17;2.67;36.65;11.93;10;medium
7;43;43.63;21.64;7.92;0.01;0.06;23.04;3.7;30;deep
7;44;32.41;58.63;1.01;0;0;4.85;3.1;50;deep
7;45;42.18;50.79;1.12;0;0;4.36;1.55;50;deep
7;46;35.38;47.15;0.82;0.01;1.86;13.96;0.83;45;deep
7;47;13.78;18.73;0.19;3.12;27.33;32.14;4.71;15;medium
